Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,CAS,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPO+,QPD,QPD+,OPD,QvH,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
63,25,Aas S,15,7,3,33,27,92,64,1.4375,47,0.4608,1.09836241741968,0.4267,65,49,1.3265,37,0.5934,10,0.8875,--,1.0201,--,1.0542,0,0,0,11,18,R Highland Div 2,5,Highland,WestJ
63,25,AastorpH,16,5,4,36,40,147,109,1.3486,26,0.3059,0.974884608556315,0.7267,107,86,1.2442,21,0.7558,5,1.0326,--,1.4825,--,1.0617,109,2,0,12,7,B Highland,1,Highland,AastorpH
63,25,AbdalianA,11,12,2,24,12,90,70,1.2857,32,0.3404,1.3856406460551,0.4667,78,65,1.2000,31,0.6931,1,0.8071,--,1.1598,--,1.0335,96,0,0,7,23,D Midland Div 1,13,Midland,BallisterE
63,25,AbrahamA,5,17,3,11,-55,34,26,1.3077,24,0.4138,0.958331884056875,0.1884,89,68,1.3088,36,0.6327,-12,0.6022,--,0.8211,--,1.0465,0,0,2,2,16,R Pacific Div 1,25,Pacific,LovejoyA
63,25,AcedoS,10,12,3,23,-8,80,59,1.3559,39,0.4105,1.22898331965898,0.3933,88,74,1.1892,32,0.7091,7,0.8038,--,1.1024,--,1.1196,88,0,0,8,16,D Coastal Div 1,17,Coastal,HalpinM
63,25,AckermanJ,7,15,3,13,-33,59,39,1.5128,39,0.5065,1.02293694820355,0.3095,92,63,1.4603,38,0.5309,1,0.816,--,0.8404,--,1.0374,0,2,4,6,12,R Central Div 2,20,Central,LevyB
63,25,AdamsE,8,12,5,18,-17,79,68,1.1618,22,0.2444,1.48377895927931,0.5152,96,77,1.2468,28,0.7053,-6,0.7596,--,1.2205,--,0.9497,91,1,3,8,12,C Pacific,29,Pacific,PenroseB
63,25,AdamsMe,13,7,5,30,15,93,73,1.2740,29,0.3187,1.44,0.5069,78,61,1.2787,33,0.6452,-4,0.8256,--,1.1521,--,0.9639,100,0,1,8,18,E Coastal Div 1,10,Coastal,PliskaG
63,25,AdelmanM,11,11,3,25,13,113,86,1.3140,35,0.3431,1.09836241741968,0.5733,100,80,1.2500,24,0.7273,11,0.9164,--,1.3006,--,1.0704,101,2,0,11,13,C Skyline,18,Skyline,PeskinK
63,25,AderholdE,12,10,3,27,9,74,62,1.1935,29,0.3021,1.2687001221723,0.4133,65,59,1.1017,25,0.7423,4,0.7154,--,1.1556,--,1.0444,95,1,0,5,22,D Horizon Div 2,7,Horizon,RyderM
63,25,AdusumilliV,12,5,8,32,24,175,124,1.4113,21,0.3281,0.773563184232549,0.8267,151,113,1.3363,20,0.7403,1,1.1548,--,1.567,--,1.0684,104,0,0,18,5,A Central,4,Central,VeredJ
63,25,AgarSDW,12,11,2,26,1,80,60,1.3333,36,0.3913,1.32664991614216,0.4000,79,68,1.1618,24,0.7447,12,0.7913,--,1.1447,--,1.136,98,0,0,5,20,D Midland Div 2,13,Midland,MorganEM
63,25,AginM,7,13,5,19,-23,61,49,1.2449,36,0.3711,0.82365041127896,0.3267,84,66,1.2727,29,0.6705,7,0.6978,--,0.9972,--,1.0416,0,1,0,5,26,R Coastal Div 1,18,Coastal,MatthewsP
63,25,AgostaM,10,13,2,21,-4,100,77,1.2987,33,0.3402,1.2936769303037,0.5347,104,74,1.4054,34,0.5854,-1,0.8749,--,1.1201,--,0.9256,90,2,1,7,16,C Seaboard Div 1,15,Seaboard,KenneyJ
63,25,AhmedMZ,13,9,3,27,9,84,68,1.2353,31,0.3163,1.342236938845,0.4928,75,61,1.2295,35,0.6602,-4,0.8091,--,1.153,--,0.9765,92,1,2,6,12,D Seaboard Div 2,11,Seaboard,ShoafC
63,25,AingerT,14,8,3,30,28,111,82,1.3537,37,0.3776,1.21720992437624,0.5694,83,66,1.2576,36,0.6538,1,0.947,--,1.2232,--,1.0314,131,0,1,9,13,D Coastal Div 1,4,Coastal,CollegeA
63,25,AlbertM,3,18,4,9,-55,43,45,0.9556,20,0.2247,1.01980390271856,0.3125,98,71,1.3803,42,0.5842,-22,0.5372,--,0.8967,--,0.8089,88,0,1,2,20,D Frontier Div 1,27,Frontier,AlexisC
63,25,AlbertsonJ,8,14,3,19,-4,70,50,1.4000,41,0.4457,1.13137084989848,0.3333,74,59,1.2542,32,0.6559,9,0.779,--,0.9892,--,1.1016,0,1,0,4,27,R Seaboard Div 2,17,Seaboard,MatrosM
