Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
64,25,Aas S,10,11,4,24,-15,85,68,1.2500,34,0.3333,0.4533,100,75,1.3333,41,0.6168,-7,0.7866,1.0701,0.9501,0,0,7,19,C Highland,12,Highland,WestJ
64,25,AastorpH,11,12,2,24,0,126,98,1.2857,25,0.2717,0.6533,126,97,1.2990,20,0.7468,5,0.925,1.4001,1.0185,0,0,12,6,A Meridian,14,Meridian,AastorpH
64,25,AbbasiS,4,20,1,8,-59,27,25,1.0800,18,0.3158,0.1736,86,60,1.4333,42,0.5435,-24,0.4894,0.7171,0.8593,1,1,3,19,R Highland Div 1,26,Highland,SaundersA
64,25,AbbottD,21,1,3,45,96,168,115,1.4609,34,0.4416,0.7667,72,56,1.2857,33,0.6333,1,1.2083,1.4,1.0749,2,0,14,10,R Midland Div 2,1,Midland,DeTuraM
64,25,AbdalianA,15,6,4,34,17,86,70,1.2286,31,0.3100,0.4667,69,62,1.1129,23,0.7553,8,0.7767,1.222,1.0653,0,0,6,22,D Midland Div 1,4,Midland,BallisterE
64,25,AbelM,6,17,2,13,-41,48,41,1.1707,26,0.3291,0.2847,89,59,1.5085,45,0.4944,-19,0.6138,0.7791,0.8235,1,1,4,10,R Meridian Div 2,20,Meridian,AastorpH
64,25,AbraG,7,16,2,12,-39,53,44,1.2045,28,0.3415,0.3492,92,67,1.3731,37,0.5934,-9,0.6907,0.9426,0.9349,0,4,3,17,R Highland Div 1,22,Highland,ShortC
64,25,AbramsJ2,7,17,1,12,-49,51,41,1.2439,27,0.3600,0.3106,100,72,1.3889,34,0.5952,-7,0.6706,0.9058,0.9552,3,3,3,14,R Skyline Div 3,24,Skyline,EdwardsG
64,25,AcedoS,10,10,5,24,9,93,74,1.2568,32,0.3200,0.5139,84,67,1.2537,35,0.6602,-3,0.8339,1.1741,0.9802,0,1,7,14,D Coastal Div 1,13,Coastal,HalpinM
64,25,ActonR Grabec,14,9,2,30,41,113,78,1.4487,49,0.4623,0.5200,72,51,1.4118,39,0.5517,10,0.9823,1.0717,1.014,1,0,12,17,R Metro Div 1,11,Metro,CapodiceN
64,25,AdamsACL,5,18,2,10,-40,33,27,1.2222,23,0.3770,0.1957,73,56,1.3036,31,0.6310,-8,0.5727,0.8267,1.008,3,2,0,18,R Coastal Div 2,21,Coastal,GazzolaT
64,25,AdamsE,15,8,2,31,23,97,74,1.3108,36,0.3600,0.5139,74,59,1.2542,37,0.6408,-1,0.8739,1.1547,1.0008,0,1,12,13,D Pacific Div 2,2,Pacific,GoodeM
64,25,AdamsMe,11,12,2,20,-3,71,53,1.3396,38,0.4086,0.4206,74,58,1.2759,31,0.6477,7,0.8292,1.0683,1.0563,0,4,6,17,E Coastal Div 2,27,Coastal,GazzolaT
64,25,AddoF,11,9,5,27,25,102,75,1.3600,40,0.3960,0.5000,77,57,1.3509,39,0.5895,1,0.896,1.0895,0.9855,1,0,8,9,R Horizon Div 1,11,Horizon,RyderM
64,25,AdelmanM,8,14,3,19,-6,109,89,1.2247,25,0.2525,0.5933,115,91,1.2637,24,0.7363,1,0.8458,1.3296,0.9888,1,0,7,15,C Skyline Div 2,19,Skyline,PeskinK
64,25,AderholdE,11,8,6,28,2,69,63,1.0952,28,0.2617,0.4200,67,63,1.0635,23,0.7723,5,0.6817,1.1923,1.034,1,0,5,17,D Horizon Div 1,8,Horizon,RyderM
64,25,AdkinsJ,15,8,2,32,24,100,68,1.4706,50,0.4808,0.4533,76,65,1.1692,28,0.7172,22,0.9341,1.1705,1.198,0,0,7,24,R Skyline Div 2,6,Skyline,KahnKS
64,25,AdkisonD,12,10,3,27,12,113,83,1.3614,41,0.3905,0.5533,101,70,1.4429,38,0.5476,3,0.9438,1.1009,0.9381,3,0,7,12,R Central Div 1,16,Central,ScheelerD
64,25,AdusumilliV,11,10,4,25,5,169,123,1.3740,13,0.2281,0.8542,164,119,1.3782,18,0.7231,-5,1.0823,1.5773,0.9512,0,1,14,3,A Central,12,Central,VeredJ
64,25,AgarSDW,15,8,2,32,14,73,54,1.3519,35,0.4070,0.3600,59,54,1.0926,24,0.7391,11,0.767,1.0991,1.1461,0,0,7,26,D Midland Div 1,6,Midland,MorganEM
64,25,AginM,11,10,4,26,-2,51,44,1.1591,29,0.3295,0.2933,53,49,1.0816,24,0.7303,5,0.6228,1.0236,1.0598,2,0,4,32,E Meridian Div 2,11,Meridian,MatthewsP
64,25,AglerB,13,10,2,28,8,77,50,1.5400,49,0.5213,0.3333,69,45,1.5333,35,0.4776,14,0.8546,0.8109,0.9989,4,0,6,13,R Frontier Div 3,10,Frontier,KrizelJ
64,25,AgostaM,11,9,5,26,4,87,70,1.2429,30,0.3125,0.4861,83,63,1.3175,39,0.6139,-9,0.7986,1.1,0.9264,2,1,5,16,D Maritime Div 2,9,Maritime,KenneyJ
64,25,AhmedMZ,13,10,2,28,11,96,68,1.4118,47,0.4434,0.4533,85,64,1.3281,36,0.6170,11,0.8967,1.0703,1.0604,1,0,7,24,D Seaboard Div 2,11,Seaboard,ShoafC
64,25,AingerT,17,6,2,35,40,114,84,1.3571,36,0.3750,0.5833,74,57,1.2982,33,0.6292,3,0.9583,1.2125,1.0042,3,1,8,10,D Meridian Div 2,1,Meridian,CollegeA
64,25,AlbertB,9,13,3,21,-4,79,59,1.3390,40,0.4040,0.3933,83,62,1.3387,36,0.6087,4,0.7973,1.002,1.0127,0,0,8,28,R Metro Div 2,14,Metro,ArizpeAC
64,25,AlbertM,9,11,5,21,2,49,48,1.0208,22,0.2444,0.3478,47,45,1.0444,20,0.7531,2,0.5922,1.1009,0.9975,0,2,3,17,E Frontier Div 1,21,Frontier,AlexisC
64,25,AlbertsonJ,14,8,3,31,14,64,51,1.2549,35,0.3684,0.3400,50,42,1.1905,27,0.6625,8,0.7084,1.0025,1.0309,3,0,8,26,E Seaboard Div 1,4,Seaboard,MatrosM
64,25,AlbertsonJB,11,11,3,25,-3,71,53,1.3396,39,0.4105,0.3533,74,58,1.2759,32,0.6444,7,0.7638,0.9977,1.0549,1,0,6,23,R Seaboard Div 1,18,Seaboard,MatrosM
